S,V
0E-01,0.00E+00
0E-01,1.13E+02
0E-01,1.54E+02
0E-01,1.88E+02
0.00E+00,2.52E+02
6.91E-01,3.38E+02
6.91E-01,3.87E+02
1.38E+00,4.10E+02
2.07E+00,4.66E+02
3.46E+00,5.11E+02
4.15E+00,5.53E+02
6.91E+00,6.35E+02
9.68E+00,7.07E+02
1.18E+01,7.63E+02
1.45E+01,7.97E+02
1.94E+01,8.27E+02
2.97E+01,8.98E+02
3.94E+01,9.32E+02
4.98E+01,9.62E+02
7.47E+01,1.00E+03
9.95E+01,1.02E+03
1.50E+02,1.05E+03
2.00E+02,1.08E+03
3.00E+02,1.11E+03
0.00E+00,1.50E+01
0.00E+00,4.51E+01
0.00E+00,8.65E+01
6.91E-01,1.54E+02
1.38E+00,1.99E+02
2.07E+00,2.48E+02
2.76E+00,2.93E+02
3.46E+00,3.46E+02
4.84E+00,3.80E+02
7.60E+00,4.21E+02
9.68E+00,4.70E+02
1.11E+01,4.85E+02
1.45E+01,4.96E+02
1.94E+01,5.71E+02
2.97E+01,6.02E+02
4.01E+01,6.28E+02
4.91E+01,6.50E+02
7.47E+01,6.62E+02
9.95E+01,6.69E+02
1.50E+02,6.92E+02
2.00E+02,6.99E+02
3.00E+02,7.11E+02
